clean_text,reminder system,reward programme,misselling,customer service,product pricing,output,Category
sms reminders creditcardco vague cryptic supposed remember due date without clear information confusingmessages,0.970593154,0.002747671,0.007948467,0.017456295,0.001254468,reminder system,Reminder System
credit card rewards program creditcardco convoluted even figure redeem points rewardfrustration,0.00135102,0.993426859,0.003319265,0.001191469,0.000711394,reward programme,Reward Programme
text message creditcardco notifying fraudulent transaction woke middle night respect customers sleep schedule intrusiveale,0.236175105,0.052970447,0.050158456,0.620231152,0.040464807,customer service,Miscellaneous
hey creditcardco integrating payment reminder ales viual assistant platforms like siri google assistant would make convenient customers stay informed paymentreminders,0.935942948,0.002580238,0.001223308,0.058796939,0.0014566,reminder system,Reminder System
discovered creditcardco called exclusive offer retired pensioners nothing trap hidden fees high costs pushing financial hardship deceptivesales misselling,0.001969552,0.003972006,0.990772963,0.001553663,0.001731801,misselling,MisSelling
credit card fees balance transfer fees cash advance fees considered utilizing services impoant assess cost benefit feeconsideration,0.155840144,0.239973411,0.192759722,0.189384222,0.222042501,reward programme,Miscellaneous
notification creditcardco changes credit limit arrived already made large purchase poor timing lack consideration untimelycommunication,0.404777884,0.034221698,0.040685572,0.489413559,0.030901279,customer service,Reminder System
feeling betrayed creditcardco marketed product specifically retired pensioners promising financial security burdened unmanageable debt targetedexploitation misselling,0.001121168,0.001292246,0.956478834,0.001133971,0.039973799,misselling,MisSelling
hey creditcardco relying solely snail mail sending due date reminders outdated ineffective embrace digital communication options snailmailissues,0.970700741,0.002402164,0.001457579,0.023897024,0.001542435,reminder system,Channel of Communication
trusted creditcardco products suitable retired pensioners took advantage vulnerability high cost product sold causing immense financial stress predatorypractices misselling,0.001264414,0.001403631,0.509129226,0.001178689,0.487024009,misselling,MisSelling
loyal customer creditcardco reward program feels like one sided deal annual fee keeps increasing rewards keep shrinking unbalanced,0.00107703,0.948729694,0.046045084,0.002531383,0.001616889,reward programme,Reward Programme
creditcardco reward program needs major overhaul accumulated many points redemption options lackluster uninspiring rewardprogramfail,0.00120464,0.995356798,0.001622092,0.000955992,0.000860423,reward programme,Reward Programme
dear creditcardco automated payment reminder calls frequent disruptive would helpful could customize frequency switch less intrusive mode communication automatedcalls communicationpreference,0.990278363,0.002344971,0.001663633,0.003568972,0.002144091,reminder system,Channel of Communication
feeling betrayed creditcardco marketed product specifically retired pensioners promising financial security burdened unmanageable debt targetedexploitation misselling,0.001121168,0.001292246,0.956478834,0.001133971,0.039973799,misselling,MisSelling
feeling frustrated creditcardco reward program points expire quickly making impossible save meaningful redemption shoexpiration,0.00199669,0.992959201,0.002475491,0.001464147,0.001104429,reward programme,Reward Programme
due date reminders creditcardco easily overlooked cluttered inbox need attention grabbing format subject line getnoticed,0.975550294,0.004705934,0.00306648,0.013769123,0.00290828,reminder system,Reminder System
choosing right credit card requires careful consideration interest rates fees rewards programs impoant compare options making decision creditcardselection,0.01346884,0.928629577,0.020688718,0.0138644,0.023348525,reward programme,Reward Programme
creditcardco always send impoant updates weekends holidays customer service unavailable inconvenient frustrating pooiming,0.045292757,0.004117155,0.001527854,0.946782112,0.0022801,customer service,Reminder System
feeling scammed creditcardco convinced purchase high cost product promising incredible benefits turned total rip fraudulentsales misselling,0.000993575,0.00163446,0.958391428,0.002361723,0.036618799,misselling,MisSelling
creditcardco email payment reminders often end spam folder causing miss impoant due dates please improve delivery consider alternative modes communication paymentreminders communicationissue,0.985866487,0.001970601,0.001724754,0.008936193,0.001501902,reminder system,Channel of Communication
apologize inconvenience caused pricing structure rest assured committed providing competitive transparent pricing benefits customers thank feedback transparentpolicies,0.080831125,0.076002494,0.065148689,0.347575754,0.430441946,product pricing,Inappropriate pricing
creditcardco high default interest rates like want profit people financial struggles exploitativepricing,0.033637203,0.039923042,0.852639616,0.022467844,0.051332247,misselling,Inappropriate pricing
thank bringing issue altered product pricing attention value feedback committed considering impact customers making changes customerfirst,0.000376458,0.000420235,0.000549265,0.00426786,0.994386256,product pricing,Inappropriate pricing
